编号,名称,描述,介绍,特性,属性,总种族值,生命,物攻,魔攻,物防,魔防,速度,阶段,进化等级,进化方式,身高,体重,蛋组,性别比例,进化链,有地区形态,有首领形态,有异色形态
1,迪莫,永远的伙伴,这是关于勇气的故事，他很脆弱却也不曾退缩；这是关于梦想的故事，梦很简单却也执着。这就是我，迪莫。,最好的伙伴-造成克制伤害后，获得攻防速+20%，并回复2能量。,光,582,120,80,80,105,105,92,1,0,,0.54-0.78,5.5-7.0,,雄性 50% / 雌性 50%,迪莫进化链,否,是,否
2,喵喵,草元素精灵,喜欢阳光，喜欢新鲜的空气，会摇晃尾巴，受到惊吓会快速逃跑。虽然很胆小，但有时候也很调皮。,氧循环-使用草系技能后，回复10%生命。,草,370,65,66,66,49,91,33,1,0,,0.53-0.75,3.62-4.6,动物组-拟人组,雄性 50% / 雌性 50%,喵喵进化链,否,是,否
3,喵呜,草元素精灵,爱在泉水边嬉戏，是喵喵的进化型，芭蕉叶状的尾巴变成了两条。胆量变大了，会经常吐舌头挑衅对手。,氧循环-使用草系技能后，回复10%生命。,草,490,86,87,87,65,121,44,2,16,,0.65-0.92,14.2-15.6,动物组-拟人组,雄性 50% / 雌性 50%,喵喵进化链,否,是,否
4,魔力猫,草之灵,普遍性情温和，体型巨大，据说深吸一口气能呼出将洛克都吹走的狂风，但通常情况下举止动作十分轻柔。“长了三条锋利的尾巴，经常会用身体冲撞碾压对手”。,氧循环-使用草系技能后，回复10%生命。,草,613,108,109,109,81,151,55,3,32,,1.5-2.15,105.0-125.0,动物组-拟人组,雄性 50% / 雌性 50%,喵喵进化链,否,是,否
5,火花,火元素精灵,像一团迸发的小火花，坦诚炙热，生性勇敢无畏。能熟练运用火元素，偶尔有点冒失，是值得信赖的伙伴。,助燃-使用火系技能后，获得双攻+20%。,火,368,70,84,37,56,43,78,1,0,,0.53-0.71,7.6-8.5,魔力组-巨灵组,雄性 80% / 雌性 20%,火花进化链,否,是,否
6,焰火,火元素精灵,长出了一对大翅膀，但似乎并不是用来飞行的。能用双手释放出更加强力的火焰，但不太熟练。,助燃-使用火系技能后，获得双攻+20%。,火,490,93,111,49,75,58,104,2,16,,0.82-1.1,21.0-30.7,魔力组-巨灵组,雄性 80% / 雌性 20%,火花进化链,否,是,否
7,火神,火之灵,强大的火焰之灵，只是靠近它就能够感受到温度的急剧变化。如果没有脖子上的项圈，它的火焰可能会暴走。“在磨练中成长，在烈火中重生，用意志在战斗，用生命在燃烧，永远的火神”。,助燃-使用火系技能后，获得双攻+20%。,火,613,117,139,61,94,72,130,3,36,,1.52-2.18,90.5-110.0,魔力组-巨灵组,雄性 80% / 雌性 20%,火花进化链,否,是,否
8,水蓝蓝,水元素精灵,漂浮在水面上的精灵，没事吐个泡泡，头顶有一个红色的蝴蝶结。不在水中的时候，身体上也覆盖了一层液体薄膜。,浸润-使用水系技能后，全技能能耗-1。,水,372,75,35,76,56,79,51,1,0,,0.45-0.65,2.85-4.21,魔力组,雌性 100%,水蓝蓝进化链,否,是,否
9,波波拉,水元素精灵,在水中自如地游动，头上的触角可以感受水中的变化，总是带着一颗球一样的东西。身旁环绕着特殊的水元素，水元素凝结体中蕴含魔法能量的波动。,浸润-使用水系技能后，全技能能耗-1。,水,497,100,46,102,75,106,68,2,16,,0.72-1.03,29.5-34.0,魔力组,雌性 100%,水蓝蓝进化链,否,是,否
10,水灵,水之灵,将刚刚孕育的胚胎顶在头上，胚胎由特殊水元素包裹着。能将身边的水元素汇集在一起喷射出去，产生强大的冲击力。“无论是云中落下的一滴水，还是湖面中微风吹起的一道涟漪，都有她的身影”。,浸润-使用水系技能后，全技能能耗-1。,水,621,125,58,127,94,132,85,3,36,,1.08-1.54,77.0-85.5,魔力组,雌性 100%,水蓝蓝进化链,否,是,否
11,鸭吉吉,鸭仔精灵,拥有蓬松的被毛，非常柔软。似乎很讨厌肢体接触，抗拒被抚摸。非常聪慧的物种，对环境中与众不同的东西十分敏感，尤其对于闪光的物体和新奇的事物格外感兴趣。,挺起胸脯-携带的能耗为1的技能，威力+50%。,普通,471,136,95,35,55,45,105,1,0,,0.65-0.94,14.6-17.6,天空组,雄性 50% / 雌性 50%,鸭吉吉进化链,是,是,否
12,板板壳,硬壳精灵,平时看似懒懒的，感到危险时，柔软的身体会迅速缩回壳里。柔韧的尾巴看起来像海草，偶尔会被饥饿的水生精灵咬一口。,缩壳-携带的防御技能能耗-2。,水,357,67,28,72,64,81,45,1,0,,0.53-0.76,7.5-10.5,两栖组,雄性 50% / 雌性 50%,板板壳进化链,是,否,否
13,咔咔壳,硬壳精灵,很少再缩进壳里，即使遇到危险也会勇敢面对。甲壳内一部分是空气，一部分是水，通过喷嘴来调节重量从而在水中下潜和上浮。,缩壳-携带的防御技能能耗-2。,水,475,90,37,96,85,107,60,2,16,,0.65-0.92,19.5-24.5,两栖组,雄性 50% / 雌性 50%,板板壳进化链,是,否,否
14,水泡壳,硬壳精灵,进化之后体重增长到原来的数倍，前肢的力量也变得十分发达。前面有坚硬的尖角，背后有甲壳和水炮的泵口，是像堡垒一样可靠的存在。,缩壳-携带的防御技能能耗-2。,水,594,112,46,120,107,134,75,3,36,,1.23-1.75,83.5-94.5,两栖组,雄性 50% / 雌性 50%,板板壳进化链,是,否,否
15,锥尾羊,羊精灵,白色的毛十分蓬松，脚掌柔软，移动时悄无声息，因此很擅长藏身草原与坡地。它性格安静，同类之间常用轻轻顶犄角的方式交流。,碰瓷-自己使用恶系技能后，敌方失去2能量。,幽,349,67,66,29,72,49,66,1,0,,0.57-0.81,13.3-16.5,动物组,雄性 50% / 雌性 50%,锥尾羊进化链,否,否,否
16,铃兰羊,羊精灵,白天会懒洋洋地趴在草原上休息，主要在早晨和黄昏行动，一般会脱离种群独自生活。跳跃力惊人，在山坡上如履平地，从100米的高度一跃而下也没事。,碰瓷-自己使用恶系技能后，敌方失去2能量。,幽,466,89,89,39,96,65,88,2,20,,0.7-1.01,29.0-36.0,动物组,雄性 50% / 雌性 50%,锥尾羊进化链,否,否,否
17,花影羚羊,羊精灵,进化后，分叉的角更为锋利，中间盛开一朵蓝色花朵，花瓣能体现它们的身体状态，疲劳时，花瓣会略微下垂。花朵在夜晚能发出怪异的微光，能够迷惑对手。,碰瓷-自己使用恶系技能后，敌方失去2能量。,幽-恶,582,112,111,48,120,81,110,3,32,,1.42-1.92,76.9-98.0,动物组,雄性 50% / 雌性 50%,锥尾羊进化链,否,否,否
